Hostname;VRF_Name;Route-Distinguisher;;;
ROA1.AVA1;VRF-FCORP-BANCO-ITAU-ARGENTINA_SA;10481:11170;;;
ROA1.AVA1;VRF-FCORP-BANCO-ITAU-TECO;7303:1162;;;
ROA1.AVA1;VRF-FCORP-DARC-LIBERTADOR-SA;10481:11036;;;
ROA1.AVA1;VRF-FCORP-FIRSTDATA-TECO;7303:1428;;;
ROA1.AVA1;VRF-FCORP-GALENO-ARGENTINA;10481:11454;;;
ROA1.AVA1;VRF-FCORP-GCBA-ESCUELAS;10481:11125;;;
ROA1.AVA1;VRF-FCORP-ICBC-SA;10481:11063;;;
ROA1.AVA1;VRF-FCORP-KEL-EDICIONES;10481:11381;;;
ROA1.AVA1;VRF-FCORP-ORGANIZACION-COORDINADORA-ARGENTINA-SRL;10481:11148;;;
ROA1.AVA1;VRF-FCORP-OSVALDO-DIAZ-SA;10481:11384;;;
ROA1.AVA1;VRF-FCORP-PROYECTO-COMISARIAS-MINISTERIO-DE-DEFENSA-Y-JUSTICIA;10481:11325;;;
ROA1.AVA1;VRF-FCORP-VISA-PRISMA-TECO;7303:747;;;
ROA1.AVA1;VRF-FCORP-YPF-TERCEROS;10481:11435;;;
ROA1.AVA1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.AVA1;VRF-PRUEBA-IPV6-PY;7303:200197;;;
ROA1.AVA1;VRF-TASA-INTER-AS-TEST-ESCENARIO2;10834:98;;;
ROA1.AVA1;VRF-VIDEO-GESTION-KVM;10481:90142;;;
ROA1.AVA1;VRF-VIDEO-VOD-APEX-MDS;10481:90021;;;
ROA1.AVA1;VRF-VIDEO-VOD-APEX-MOTOROLA;10481:90023;;;
ROA1.BEL1;VRF-CABLE-CANAL-LOCAL-SOMOS;10481:90135;;;
ROA1.BEL1;VRF-CABLE-CMTS-BEL1;10481:10009;;;
ROA1.BEL1;VRF-CABLE-CYCLADES-DCN;10481:90104;;;
ROA1.BEL1;VRF-CABLE-DWDM-DCN;10481:99100;;;
ROA1.BEL1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.BEL1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24009;;;
ROA1.BEL1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26009;;;
ROA1.BEL1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28009;;;
ROA1.BEL1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27009;;;
ROA1.BEL1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25009;;;
ROA1.BEL1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.BEL1;VRF-CABLE-WIMAX-OM;10481:90001;;;
ROA1.BEL1;VRF-CABLE-WIMAX-R6-R4;10481:90006;;;
ROA1.BEL1;VRF-FCORP-ARCOS-DORADOS-ARGENTINA-SA;10481:11121;;;
ROA1.BEL1;VRF-FCORP-AXION-ENERGY-ARGENTINA-INTERNET;10481:11135;;;
ROA1.BEL1;VRF-FCORP-AXION-ENERGY-ARGENTINA-SA;10481:11127;;;
ROA1.BEL1;VRF-FCORP-BANCO-DE-GALICIA-Y-BUENOS-AIRES-S-A;10481:11132;;;
ROA1.BEL1;VRF-FCORP-BANCO-DE-LA-CIUDAD-DE-BUENOS-AIRES;10481:11003;;;
ROA1.BEL1;VRF-FCORP-BANCO-SUPERVIELLE-SA;10481:11020;;;
ROA1.BEL1;VRF-FCORP-CAPILATIS-SA;10481:11045;;;
ROA1.BEL1;VRF-FCORP-CENCOSUD-SA;10481:11050;;;
ROA1.BEL1;VRF-FCORP-CONSEJO-DE-LA-MAGISTRATURA;10481:11044;;;
ROA1.BEL1;VRF-FCORP-CONVERGIA;10481:11438;;;
ROA1.BEL1;VRF-FCORP-COTO-CENTRO-INTEGRAL-DE-COMERCIALIZACION-SA;10481:11069;;;
ROA1.BEL1;VRF-FCORP-CYRE-TECO;7303:159;;;
ROA1.BEL1;VRF-FCORP-DARC-LIBERTADOR-SA;10481:11036;;;
ROA1.BEL1;VRF-FCORP-DEHEZA;10481:11425;;;
ROA1.BEL1;VRF-FCORP-FARMACITY-SA-2;10481:11072;;;
ROA1.BEL1;VRF-FCORP-FAST-FOOD-SUDAMERICANA-SA;10481:11027;;;
ROA1.BEL1;VRF-FCORP-FUND-IBEROAME-DE-ESTUDIOS-SUPERIORES;10481:11023;;;
ROA1.BEL1;VRF-FCORP-GARBARINO-SA;10481:11070;;;
ROA1.BEL1;VRF-FCORP-GCBA-ESCUELAS;10481:11125;;;
ROA1.BEL1;VRF-FCORP-GCBA-HOSPITALES;10481:11039;;;
ROA1.BEL1;VRF-FCORP-GIMNASIOS-ARGENTINOS-SA;10481:11042;;;
ROA1.BEL1;VRF-FCORP-HOYTS-GENERAL-CINEMA-DE-ARGEN;10481:11001;;;
ROA1.BEL1;VRF-FCORP-KEL-EDICIONES;10481:11381;;;
ROA1.BEL1;VRF-FCORP-LA-CAJA-ART;10481:11278;;;
ROA1.BEL1;VRF-FCORP-OSVALDO-DIAZ-SA;10481:11384;;;
ROA1.BEL1;VRF-FCORP-PETROBRAS-ENERGIA-SA;10481:11014;;;
ROA1.BEL1;VRF-FCORP-STANDARD-BANK-SA;10481:11063;;;
ROA1.BEL1;VRF-FCORP-STARBUCKS-COFFEE-ARGENTINA-SRL;10481:11025;;;
ROA1.BEL1;VRF-FCORP-TC-INSIDE-SA;10481:11396;;;
ROA1.BEL1;VRF-FCORP-YPF-SA;10481:11002;;;
ROA1.BEL1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.BEL1;VRF-VIDEO-VOD-MOTOROLA-APEX;10481:90023;;;
ROA1.BEL1;VRF-VIDEO-VOD-VIDEO-APEX-MDS;10481:90021;;;
ROA1.PER1;INTER-AS-CLARO-15008;10481:15008;;;
ROA1.PER1;VRF-CABLE-CMTS-PER1;10481:10084;;;
ROA1.PER1;VRF-CABLE-CYCLADES-DCN;10481:90104;;;
ROA1.PER1;VRF-CABLE-GESTION-SDH-HUAWEI-ACCESO;10481:29084;;;
ROA1.PER1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.PER1;VRF-CABLE-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.PER1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24084;;;
ROA1.PER1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26084;;;
ROA1.PER1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28084;;;
ROA1.PER1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27084;;;
ROA1.PER1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25084;;;
ROA1.PER1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.PER1;VRF-FCORP-BAIRESCAMBIO;7303:200120;;;
ROA1.PER1;VRF-FCORP-BANCO-GALICIA-SA;10481:11132;;;
ROA1.PER1;VRF-FCORP-BANCO-HIPOTECARIO-SA;10481:11061;;;
ROA1.PER1;VRF-FCORP-BBVA-BANCO-FRANCES-SA;10481:11093;;;
ROA1.PER1;VRF-FCORP-CENCOSUD;10481:11050;;;
ROA1.PER1;VRF-FCORP-CORREO-ANDREANI-SA;10481:11136;;;
ROA1.PER1;VRF-FCORP-FRAVEGA-SACIEI;10481:11114;;;
ROA1.PER1;VRF-FCORP-GARBARINO-SA;10481:11070;;;
ROA1.PER1;VRF-FCORP-IOMA;10481:11270;;;
ROA1.PER1;VRF-FCORP-LITORAL-GAS-TECO;7303:450;;;
ROA1.PER1;VRF-FCORP-ORGANIZACION-DE-SERVICIOS-DIRECTOS-EMPRESARIOS-OSDE;10481:11133;;;
ROA1.PER1;VRF-FCORP-PODER-JUDICIAL-ADMINISTRACION-JUSTICIA;10481:11142;;;
ROA1.PER1;VRF-FCORP-STANDARD-BANK;10481:11063;;;
ROA1.PER1;VRF-FCORP-SUPERVIELLE;10481:11020;;;
ROA1.PER1;VRF-FCORP-UNNOBA;10481:11032;;;
ROA1.PER1;VRF-FCORP-YPF-TERCEROS;10481:11435;;;
ROA1.BER1;VRF-CABLE-CMTS-BER1;10481:10151;;;
ROA1.BER1;VRF-CABLE-CYCLADES-DCN;10481:90104;;;
ROA1.BER1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.BER1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24151;;;
ROA1.BER1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26151;;;
ROA1.BER1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28151;;;
ROA1.BER1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27151;;;
ROA1.BER1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25151;;;
ROA1.BER1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.BER1;VRF-FCORP-BANCO-DE-GALICIA-Y-BUENOS-AIRES-S-A;10481:11132;;;
ROA1.BER1;VRF-FCORP-COMPANIA-FINANCIERA-ARGENTINA-SA;10481:11008;;;
ROA1.BER1;VRF-FCORP-DANAIDE-SA;10481:11310;;;
ROA1.BER1;VRF-FCORP-FEDPATRONAL-TECO;7303:200156;;;
ROA1.BER1;VRF-FCORP-GIRO-EXPRESS;7303:200126;;;
ROA1.BER1;VRF-FCORP-ICBC-SA;10481:11063;;;
ROA1.BER1;VRF-FCORP-JEFATURA-DE-GABINETE-SALUD;10481:11389;;;
ROA1.BER1;VRF-FCORP-YPF-SA;10481:11002;;;
ROA1.BER1;VRF-FCORP-YPF-TERCEROS;10481:11435;;;
ROA1.BER1;VRF-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.BER1;VRF-VIDEO-VOD-MOTOROLA-APEX;10481:90023;;;
ROA1.BER1;VRF-VIDEO-VOD-VIDEO-APEX-MDS;10481:90021;;;
ROA1.CTB1;VRF-CABLE-CMTS-CTB1;10481:10152;;;
ROA1.CTB1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.CTB1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.CTB1;VRF-CABLE-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.CTB1;VRF-CABLE-PERSONAL-ABIS2G-ACCESO;10481:24152;;;
ROA1.CTB1;VRF-CABLE-PERSONAL-GOMRAN-ACCESO;10481:26152;;;
ROA1.CTB1;VRF-CABLE-PERSONAL-S1-ACCESO;10481:28152;;;
ROA1.CTB1;VRF-CABLE-PERSONAL-S1MME-ACCESO;10481:27152;;;
ROA1.CTB1;VRF-CABLE-PERSONAL-Wan3G-ACCESO;10481:25152;;;
ROA1.CTB1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.CTB1;VRF-FCORP-ARCOS-DORADOS-ARGENTINA-SA;10481:11121;;;
ROA1.CTB1;VRF-FCORP-BANCO-DE-GALICIA-Y-BUENOS-AIRES-S-A;10481:11132;;;
ROA1.CTB1;VRF-FCORP-GIMNASIOS-ARGENTINOS-SA;10481:11042;;;
ROA1.CTB1;VRF-FCORP-JARDIN-DEL-PILAR-SA;10481:11211;;;
ROA1.CTB1;VRF-FCORP-MAXICONSUMO-SA;10481:11281;;;
ROA1.CTB1;VRF-FCORP-PODER-JUDICIAL-ADMINISTRACION-JUSTICIA;10481:11142;;;
ROA1.CTB1;VRF-FCORP-SERVICIO-ELECTRONICO-DE-PAGO-S;10481:11057;;;
ROA1.CTB1;VRF-VIDEO-VOD-GESTION-APEX;10481:90023;;;
ROA1.CTB1;VRF-VIDEO-VOD-VIDEO-APEX;10481:90021;;;
ROA1.VMA1;VRF-CABLE-CMTS-VMA1;10481:10102;;;
ROA1.VMA1;VRF-CABLE-CYCLADES;10481:90104;;;
ROA1.VMA1;VRF-CABLE-MHUB-DCN;10481:90107;;;
ROA1.VMA1;VRF-CABLE-MHUB-MONITOREO-ENERGIA;10481:90117;;;
ROA1.VMA1;VRF-CABLE-TOIP-ACCESO;10481:40032;;;
ROA1.VMA1;VRF-FCORP-BANCO-MACRO-SA;10481:11082;;;
ROA1.VMA1;VRF-FCORP-BANCO-PATAGONIA-SA;10481:11103;;;
ROA1.VMA1;VRF-FCORP-BANCO-SUPERVIELLE-SA;10481:11020;;;
ROA1.VMA1;VRF-FCORP-BBVA-BANCO-FRANCES-SA;10481:11093;;;
